,Unnamed: 0,Organisation,Rocket_Status,Price,Mission_Status
150,150,CASC,StatusActive,29.15,Success
151,151,Rocket Lab,StatusActive,7.5,Success
152,152,OneSpace,StatusActive,,Failure
153,153,Arianespace,StatusActive,37,Success
154,154,ULA,StatusRetired,,Success
155,155,Roscosmos,StatusRetired,,Success
156,156,CASC,StatusActive,29.15,Success
157,157,Exos,StatusActive,,Partial Failure
158,158,SpaceX,StatusActive,50,Success
159,159,Arianespace,StatusActive,,Success
160,160,SpaceX,StatusActive,50,Success
161,161,VKS RF,StatusActive,,Success
162,162,Arianespace,StatusActive,200,Success
163,163,ISA,StatusActive,,Failure
164,164,ISRO,StatusActive,,Success
165,165,Blue Origin,StatusActive,,Success
166,166,CASC,StatusActive,5.3,Success
167,167,ULA,StatusActive,350,Success
168,168,JAXA,StatusActive,39,Success
169,169,ISA,StatusActive,,Failure
170,170,SpaceX,StatusActive,50,Success
171,171,CASC,StatusActive,29.15,Success
172,172,CASC,StatusActive,,Success
173,173,Roscosmos,StatusActive,48.5,Success
174,174,CASC,StatusActive,,Success
175,175,SpaceX,StatusActive,50,Success
176,176,CASC,StatusActive,5.3,Success
177,177,VKS RF,StatusActive,65,Success
178,178,Arianespace,StatusActive,,Success
179,179,ISRO,StatusActive,47,Success
180,180,Rocket Lab,StatusActive,7.5,Success
181,181,CASC,StatusActive,29.15,Success
182,182,CASC,StatusActive,29.75,Success
183,183,SpaceX,StatusActive,50,Success
184,184,Arianespace,StatusActive,200,Success
185,185,SpaceX,StatusActive,50,Success
186,186,Roscosmos,StatusRetired,,Success
187,187,VKS RF,StatusRetired,41.8,Success
188,188,ISRO,StatusActive,21,Success
189,189,Arianespace,StatusActive,37,Success
190,190,CASC,StatusActive,29.75,Success
191,191,CASC,StatusActive,,Success
192,192,Northrop,StatusRetired,85,Success
193,193,Roscosmos,StatusRetired,,Success
194,194,SpaceX,StatusActive,50,Success
195,195,ISRO,StatusActive,62,Success
196,196,Rocket Lab,StatusActive,7.5,Success
197,197,Arianespace,StatusActive,,Success
198,198,VKS RF,StatusActive,48.5,Success
199,199,CASC,StatusActive,29.15,Success
200,200,MHI,StatusActive,90,Success
201,201,CASC,StatusActive,30.8,Success
202,202,Landspace,StatusRetired,,Failure
203,203,Roscosmos,StatusActive,35,Success
204,204,CASC,StatusActive,64.68,Success
205,205,Arianespace,StatusActive,200,Success
206,206,ULA,StatusActive,153,Success
207,207,CASC,StatusActive,,Success
208,208,Roscosmos,StatusRetired,,Failure
209,209,CASC,StatusActive,30.8,Success
210,210,SpaceX,StatusActive,50,Success
211,211,ExPace,StatusActive,,Success
212,212,Arianespace,StatusActive,200,Success
213,213,MHI,StatusRetired,112.5,Success
214,214,CASC,StatusActive,,Success
215,215,ISRO,StatusActive,21,Success
216,216,ULA,StatusRetired,,Success
217,217,SpaceX,StatusActive,50,Success
218,218,CASC,StatusActive,30.8,Success
219,219,Exos,StatusActive,,Partial Failure
220,220,CASC,StatusActive,,Success
221,221,Arianespace,StatusActive,37,Success
222,222,ULA,StatusActive,350,Success
223,223,SpaceX,StatusActive,50,Success
224,224,CASC,StatusActive,64.68,Success
225,225,CASC,StatusActive,,Success
226,226,SpaceX,StatusActive,50,Success
227,227,Arianespace,StatusRetired,,Success
228,228,SpaceX,StatusActive,50,Success
229,229,Blue Origin,StatusActive,,Success
230,230,Roscosmos,StatusActive,48.5,Success
231,231,CASC,StatusActive,69.7,Success
232,232,CASC,StatusActive,30.8,Success
233,233,SpaceX,StatusRetired,62,Success
234,234,CASC,StatusActive,30.8,Success
235,235,VKS RF,StatusActive,,Success
236,236,MHI,StatusActive,90,Success
237,237,Roscosmos,StatusRetired,,Success
238,238,CASC,StatusActive,69.7,Success
239,239,SpaceX,StatusRetired,62,Success
240,240,CASC,StatusActive,29.75,Success
241,241,SpaceX,StatusRetired,62,Success
242,242,Northrop,StatusRetired,85,Success
243,243,CASC,StatusActive,64.68,Success
244,244,SpaceX,StatusActive,50,Success
245,245,CASC,StatusActive,64.68,Success
246,246,ULA,StatusActive,109,Success
247,247,CASC,StatusActive,29.15,Success
248,248,Blue Origin,StatusActive,,Success
249,249,CASC,StatusActive,5.3,Success
250,250,Eurockot,StatusRetired,41.8,Success
251,251,SpaceX,StatusRetired,62,Success
252,252,VKS RF,StatusActive,65,Success
253,253,ULA,StatusActive,153,Success
254,254,ISRO,StatusActive,31,Success
255,255,CASC,StatusActive,64.68,Success
256,256,Arianespace,StatusActive,200,Success
257,257,SpaceX,StatusRetired,62,Success
258,258,CASC,StatusActive,64.68,Success
259,259,SpaceX,StatusRetired,62,Success
260,260,CASC,StatusActive,,Success
261,261,Roscosmos,StatusActive,,Success
262,262,ISRO,StatusActive,47,Success
263,263,Roscosmos,StatusRetired,,Success
264,264,CASC,StatusActive,29.75,Success
265,265,Arianespace,StatusActive,,Success
266,266,SpaceX,StatusRetired,62,Success
267,267,ULA,StatusActive,145,Success
268,268,MHI,StatusActive,90,Success
269,269,SpaceX,StatusRetired,62,Success
270,270,Roscosmos,StatusActive,48.5,Success
271,271,CASC,StatusActive,,Success
272,272,SpaceX,StatusActive,90,Success
273,273,JAXA,StatusActive,,Success
274,274,CASC,StatusActive,29.75,Success
275,275,Roscosmos,StatusActive,48.5,Success
276,276,SpaceX,StatusRetired,62,Success
277,277,Arianespace,StatusActive,200,Partial Failure
278,278,CASC,StatusActive,30.8,Success
279,279,Rocket Lab,StatusActive,7.5,Success
280,280,ULA,StatusActive,115,Success
281,281,CASC,StatusActive,5.3,Success
282,282,JAXA,StatusActive,39,Success
283,283,CASC,StatusActive,29.75,Success
284,284,ULA,StatusRetired,,Success
285,285,ISRO,StatusActive,31,Success
286,286,CASC,StatusActive,,Success
287,287,CASC,StatusActive,29.75,Success
288,288,SpaceX,StatusRetired,62,Success
289,289,Land Launch,StatusActive,,Success
290,290,CASC,StatusActive,30.8,Success
291,291,CASC,StatusActive,29.75,Success
292,292,SpaceX,StatusRetired,62,Success
293,293,MHI,StatusActive,90,Success
294,294,Roscosmos,StatusRetired,,Success
295,295,Blue Origin,StatusActive,,Success
296,296,SpaceX,StatusRetired,62,Success
297,297,Arianespace,StatusRetired,,Success
298,298,CASC,StatusActive,29.15,Success
299,299,CASC,StatusActive,29.75,Success
300,300,VKS RF,StatusActive,35,Success
301,301,Roscosmos,StatusActive,,Failure
302,302,CASC,StatusActive,30.8,Success
303,303,CASC,StatusActive,,Success
304,304,ULA,StatusRetired,,Success
305,305,CASC,StatusActive,64.68,Success
306,306,Northrop,StatusRetired,85,Success
307,307,Arianespace,StatusActive,37,Success
308,308,CASC,StatusActive,,Success
309,309,Northrop,StatusActive,45,Success
310,310,SpaceX,StatusRetired,62,Success
311,311,ULA,StatusActive,123,Success
312,312,Roscosmos,StatusActive,48.5,Success
313,313,Eurockot,StatusRetired,41.8,Success
314,314,SpaceX,StatusRetired,62,Success
315,315,MHI,StatusActive,90,Success
316,316,SpaceX,StatusRetired,62,Success
317,317,CASC,StatusActive,29.75,Success
318,318,Arianespace,StatusActive,200,Success
319,319,CASC,StatusActive,30.8,Success
320,320,VKS RF,StatusActive,65,Success
321,321,ULA,StatusActive,145,Success
322,322,ILS,StatusActive,65,Success
323,323,SpaceX,StatusRetired,62,Success
324,324,ISRO,StatusActive,31,Failure
325,325,Northrop,StatusActive,46,Success
326,326,SpaceX,StatusRetired,62,Success
327,327,VKS RF,StatusActive,,Success
328,328,MHI,StatusActive,,Success
329,329,ULA,StatusActive,109,Success
330,330,VKS RF,StatusActive,65,Success
331,331,SpaceX,StatusRetired,62,Success
332,332,Roscosmos,StatusRetired,,Success
333,333,Arianespace,StatusActive,37,Success
334,334,Roscosmos,StatusRetired,,Success
335,335,ISA,StatusActive,,Failure
336,336,Roscosmos,StatusActive,48.5,Partial Failure
337,337,SpaceX,StatusRetired,62,Success
338,338,CASC,StatusActive,,Failure
339,339,Arianespace,StatusActive,200,Success
340,340,SpaceX,StatusRetired,62,Success
341,341,SpaceX,StatusRetired,62,Success
342,342,VKS RF,StatusActive,,Success
343,343,ISRO,StatusActive,31,Success
344,344,CASC,StatusActive,29.15,Partial Failure
345,345,CASC,StatusActive,64.68,Success
346,346,Roscosmos,StatusActive,48.5,Success
347,347,ILS,StatusActive,65,Success
348,348,ISRO,StatusActive,62,Success
349,349,SpaceX,StatusRetired,62,Success
350,350,Arianespace,StatusActive,200,Success
351,351,MHI,StatusActive,90,Success
352,352,VKS RF,StatusActive,,Success
353,353,Rocket Lab,StatusActive,7.5,Failure
354,354,Arianespace,StatusActive,,Success
355,355,SpaceX,StatusRetired,62,Success
356,356,ISRO,StatusActive,47,Success
357,357,Arianespace,StatusActive,200,Success
358,358,SpaceX,StatusRetired,62,Success
359,359,CASC,StatusActive,,Success
360,360,Roscosmos,StatusRetired,,Success
361,361,ULA,StatusActive,109,Success
362,362,CASC,StatusActive,29.15,Success
363,363,SpaceX,StatusRetired,62,Success
364,364,ULA,StatusRetired,,Success
365,365,MHI,StatusActive,90,Success
366,366,SpaceX,StatusRetired,62,Success
367,367,Arianespace,StatusActive,37,Success
368,368,CASIC,StatusActive,,Success
369,369,ULA,StatusActive,109,Success
370,370,Roscosmos,StatusRetired,,Success
371,371,SpaceX,StatusRetired,62,Success
372,372,ISRO,StatusActive,31,Success
373,373,Arianespace,StatusActive,200,Success
374,374,Arianespace,StatusActive,,Success
375,375,MHI,StatusActive,,Success
376,376,ULA,StatusActive,109,Success
377,377,JAXA,StatusActive,,Failure
378,378,SpaceX,StatusRetired,62,Success
379,379,ExPace,StatusActive,,Success
380,380,CASC,StatusActive,29.15,Success
381,381,CASC,StatusActive,29.75,Partial Failure
382,382,Arianespace,StatusActive,200,Success
383,383,CASC,StatusActive,29.75,Success
384,384,JAXA,StatusActive,,Success
385,385,ULA,StatusActive,130,Success
386,386,Northrop,StatusActive,40,Success
387,387,CASC,StatusActive,29.15,Success
388,388,MHI,StatusRetired,112.5,Success
389,389,ULA,StatusRetired,,Success
390,390,ISRO,StatusActive,31,Success
391,391,Arianespace,StatusActive,37,Success
392,392,Roscosmos,StatusRetired,,Failure
393,393,CASC,StatusActive,,Success
394,394,ULA,StatusActive,145,Success
395,395,Roscosmos,StatusRetired,,Success
396,396,Arianespace,StatusRetired,,Success
397,397,CASC,StatusActive,29.75,Success
398,398,ULA,StatusActive,109,Success
399,399,CASC,StatusActive,5.3,Success
400,400,CASC,StatusActive,,Success
401,401,MHI,StatusActive,90,Success
402,402,Roscosmos,StatusRetired,,Success
403,403,Northrop,StatusRetired,85,Success
404,404,CASC,StatusActive,,Success
405,405,Blue Origin,StatusActive,,Success
406,406,Arianespace,StatusActive,200,Success
407,407,ISRO,StatusRetired,25,Success
408,408,Arianespace,StatusActive,37,Success
409,409,CASC,StatusActive,,Success
410,410,IAI,StatusActive,,Success
411,411,ULA,StatusActive,115,Success
412,412,ISRO,StatusActive,47,Success
413,413,SpaceX,StatusRetired,62,Prelaunch Failure
414,414,CASC,StatusActive,64.68,Failure
415,415,Arianespace,StatusActive,200,Success
416,416,ULA,StatusRetired,164,Success
417,417,CASC,StatusActive,29.75,Success
418,418,SpaceX,StatusRetired,62,Success
419,419,CASC,StatusActive,64.68,Success
420,420,CASC,StatusActive,29.15,Success
421,421,ULA,StatusActive,123,Success
422,422,SpaceX,StatusRetired,62,Success
423,423,Roscosmos,StatusRetired,,Success
424,424,Roscosmos,StatusRetired,,Success
425,425,CASC,StatusActive,64.68,Success
426,426,CASC,StatusActive,,Success
427,427,ULA,StatusActive,153,Success
428,428,ISRO,StatusActive,31,Success
429,429,Blue Origin,StatusActive,,Success
430,430,Arianespace,StatusActive,200,Success
431,431,SpaceX,StatusRetired,62,Success
432,432,CASC,StatusActive,,Success
433,433,ULA,StatusActive,350,Success
434,434,ILS,StatusActive,65,Success
435,435,VKS RF,StatusRetired,41.8,Success
436,436,CASC,StatusActive,64.68,Success
437,437,VKS RF,StatusActive,48.5,Success
438,438,SpaceX,StatusRetired,62,Success
439,439,Arianespace,StatusActive,,Success
440,440,CASC,StatusActive,29.75,Success
441,441,SpaceX,StatusRetired,62,Success
442,442,ISRO,StatusActive,31,Success
443,443,Roscosmos,StatusActive,,Success
444,444,Arianespace,StatusActive,,Success
445,445,SpaceX,StatusRetired,62,Success
446,446,CASC,StatusActive,29.75,Success
447,447,Blue Origin,StatusActive,,Success
448,448,Roscosmos,StatusActive,48.5,Success
449,449,CASC,StatusActive,69.7,Success
450,450,VKS RF,StatusActive,48.5,Success
451,451,ULA,StatusActive,109,Success
452,452,Roscosmos,StatusRetired,,Success
453,453,Roscosmos,StatusActive,65,Success
454,454,Roscosmos,StatusActive,35,Success
455,455,ISRO,StatusActive,31,Success
456,456,Arianespace,StatusActive,200,Success
457,457,SpaceX,StatusRetired,62,Success
458,458,MHI,StatusActive,90,Success
459,459,Eurockot,StatusRetired,41.8,Success
460,460,ULA,StatusRetired,,Success
461,461,KCST,StatusActive,,Success
462,462,VKS RF,StatusActive,48.5,Success
463,463,ULA,StatusActive,109,Success
464,464,CASC,StatusActive,,Success
465,465,ILS,StatusActive,65,Success
466,466,Arianespace,StatusActive,200,Success
467,467,Blue Origin,StatusActive,,Success
468,468,ISRO,StatusActive,31,Success
469,469,SpaceX,StatusRetired,56.5,Success
470,470,CASC,StatusActive,29.15,Success
471,471,SpaceX,StatusRetired,62,Success
472,472,Arianespace,StatusActive,,Success
473,473,ISRO,StatusActive,21,Success
474,474,Roscosmos,StatusActive,,Success
475,475,ULA,StatusActive,109,Success
476,476,VKS RF,StatusActive,,Partial Failure
477,477,Arianespace,StatusActive,37,Success
478,478,MHI,StatusActive,,Success
479,479,Blue Origin,StatusActive,,Success
480,480,Arianespace,StatusActive,200,Success
481,481,Sandia,StatusActive,15,Failure
482,482,ULA,StatusActive,109,Success
483,483,ULA,StatusActive,109,Success
484,484,ULA,StatusActive,123,Success
485,485,Arianespace,StatusActive,200,Success
486,486,ISRO,StatusActive,31,Success
487,487,CASC,StatusActive,5.3,Success
488,488,VKS RF,StatusRetired,41.8,Success
489,489,CASC,StatusActive,,Success
490,490,Arianespace,StatusActive,,Success
491,491,ULA,StatusActive,153,Success
492,492,ISRO,StatusActive,47,Success
493,493,Arianespace,StatusActive,200,Success
494,494,MHI,StatusRetired,112.5,Success
495,495,ULA,StatusRetired,,Success
496,496,Arianespace,StatusActive,200,Success
497,497,ULA,StatusActive,109,Success
498,498,ISRO,StatusActive,31,Success
499,499,SpaceX,StatusRetired,56.5,Failure
500,500,Arianespace,StatusActive,37,Success
501,501,Arianespace,StatusActive,200,Success
502,502,ULA,StatusActive,120,Success
503,503,Blue Origin,StatusActive,,Success
504,504,SpaceX,StatusRetired,56.5,Success
505,505,Arianespace,StatusActive,200,Success
506,506,SpaceX,StatusRetired,56.5,Success
507,507,VKS RF,StatusRetired,41.8,Success
508,508,ISRO,StatusActive,31,Success
509,509,Arianespace,StatusActive,,Success
510,510,MHI,StatusActive,90,Success
511,511,Kosmotras,StatusRetired,29,Success
512,512,ULA,StatusRetired,164,Success
513,513,ULA,StatusActive,123,Success
514,514,SpaceX,StatusRetired,56.5,Success
515,515,ISA,StatusActive,,Failure
516,516,SpaceX,StatusRetired,56.5,Success
517,517,Arianespace,StatusActive,37,Success
518,518,ISA,StatusActive,,Success
519,519,MHI,StatusActive,90,Success
520,520,ULA,StatusRetired,,Success
521,521,ULA,StatusActive,153,Success
522,522,SpaceX,StatusRetired,56.5,Success
523,523,Khrunichev,StatusActive,,Success
524,524,VKS RF,StatusRetired,,Success
525,525,Arianespace,StatusActive,,Success
526,526,ISRO,StatusActive,62,Success
527,527,ULA,StatusActive,145,Success
528,528,Arianespace,StatusActive,200,Success
529,529,ULA,StatusActive,350,Success
530,530,MHI,StatusActive,90,Success
531,531,CASIC,StatusRetired,,Success
532,532,Kosmotras,StatusRetired,29,Success
533,533,ULA,StatusActive,109,Success
534,534,Northrop,StatusRetired,80,Failure
535,535,Arianespace,StatusActive,200,Success
536,536,ISRO,StatusActive,31,Success
537,537,MHI,StatusActive,90,Success
538,538,SpaceX,StatusRetired,56.5,Success
539,539,ULA,StatusActive,109,Success
540,540,Arianespace,StatusActive,200,Success
541,541,SpaceX,StatusRetired,56.5,Success
542,542,Arianespace,StatusActive,,Partial Failure
543,543,ULA,StatusActive,109,Success
544,544,SpaceX,StatusRetired,56.5,Success
545,545,ULA,StatusActive,109,Success
546,546,Arianespace,StatusRetired,,Success
547,547,ULA,StatusRetired,164,Success
548,548,SpaceX,StatusRetired,56.5,Success
549,549,Northrop,StatusRetired,80,Success
550,550,Arianespace,StatusActive,,Success
551,551,VKS RF,StatusActive,,Success
552,552,VKS RF,StatusRetired,41.8,Success
553,553,ULA,StatusRetired,,Success
554,554,ISRO,StatusActive,21,Success
555,555,Kosmotras,StatusRetired,29,Success
556,556,Sea Launch,StatusActive,,Success
557,557,MHI,StatusActive,90,Success
558,558,VKS RF,StatusRetired,41.8,Success
559,559,ULA,StatusActive,109,Success
560,560,ULA,StatusRetired,164,Success
561,561,Arianespace,StatusActive,37,Success
562,562,SpaceX,StatusRetired,56.5,Success
563,563,ULA,StatusActive,145,Success
564,564,IAI,StatusActive,,Success
565,565,ISRO,StatusActive,31,Success
566,566,Arianespace,StatusActive,,Success
567,567,ULA,StatusActive,109,Success
568,568,Arianespace,StatusActive,200,Success
569,569,MHI,StatusActive,90,Success
570,570,ULA,StatusRetired,164,Success
571,571,Arianespace,StatusActive,200,Success
572,572,ULA,StatusActive,109,Success
573,573,Northrop,StatusRetired,80,Success
574,574,SpaceX,StatusRetired,56.5,Success
575,575,ISRO,StatusActive,47,Success
576,576,VKS RF,StatusActive,,Success
577,577,VKS RF,StatusRetired,41.8,Success
578,578,Arianespace,StatusActive,,Success
579,579,ULA,StatusActive,120,Success
580,580,SpaceX,StatusRetired,56.5,Success
581,581,VKS RF,StatusRetired,41.8,Success
582,582,Kosmotras,StatusRetired,29,Success
583,583,Northrop,StatusActive,40,Success
584,584,ULA,StatusActive,109,Success
585,585,ISRO,StatusActive,31,Success
586,586,SpaceX,StatusRetired,56.5,Success
587,587,CASIC,StatusRetired,,Success
588,588,ULA,StatusActive,140,Success
589,589,JAXA,StatusRetired,,Success
590,590,Northrop,StatusRetired,80,Success
591,591,VKS RF,StatusRetired,41.8,Success
592,592,Northrop,StatusActive,55,Success
593,593,Land Launch,StatusActive,,Success
594,594,Arianespace,StatusActive,200,Success
595,595,ULA,StatusActive,350,Success
596,596,Kosmotras,StatusRetired,29,Success
597,597,ULA,StatusRetired,,Success
598,598,MHI,StatusRetired,112.5,Success
599,599,Arianespace,StatusActive,200,Success
600,600,ULA,StatusActive,153,Success
601,601,VKS RF,StatusActive,65,Failure
602,602,ISRO,StatusActive,31,Success
603,603,Northrop,StatusActive,40,Success
604,604,VKS RF,StatusRetired,,Success
605,605,Arianespace,StatusActive,,Success
606,606,CASC,StatusActive,,Success
607,607,Arianespace,StatusRetired,,Success
608,608,ULA,StatusRetired,,Success
609,609,ULA,StatusActive,109,Success
610,610,Arianespace,StatusActive,37,Success
611,611,Northrop,StatusRetired,80,Success
612,612,ULA,StatusActive,109,Success
613,613,SpaceX,StatusRetired,59.5,Success
614,614,ISRO,StatusActive,21,Success
615,615,ULA,StatusActive,109,Success
616,616,Arianespace,StatusActive,200,Success
617,617,Sea Launch,StatusActive,,Failure
618,618,ULA,StatusActive,109,Success
619,619,KARI,StatusRetired,,Success
620,620,MHI,StatusActive,90,Success
621,621,VKS RF,StatusRetired,41.8,Partial Failure
622,622,Arianespace,StatusActive,200,Success
623,623,KCST,StatusActive,,Success
624,624,ULA,StatusActive,120,Success
625,625,Sea Launch,StatusActive,,Success
626,626,Arianespace,StatusActive,80,Success
627,627,Arianespace,StatusActive,200,Success
628,628,Arianespace,StatusActive,,Success
629,629,SpaceX,StatusRetired,59.5,Partial Failure
630,630,ULA,StatusRetired,164,Success
631,631,Arianespace,StatusActive,200,Success
632,632,ISA,StatusActive,,Failure
633,633,ULA,StatusActive,109,Success
634,634,ISRO,StatusActive,21,Success
635,635,ULA,StatusActive,109,Success
636,636,Sea Launch,StatusActive,,Success
637,637,Arianespace,StatusActive,200,Success
638,638,VKS RF,StatusRetired,41.8,Success
639,639,MHI,StatusRetired,112.5,Success
640,640,Arianespace,StatusActive,200,Success
641,641,ULA,StatusActive,350,Success
642,642,ULA,StatusActive,109,Success
643,643,CASC,StatusActive,,Success
644,644,Northrop,StatusActive,40,Success
645,645,Sea Launch,StatusActive,,Success
646,646,ISA,StatusActive,,Failure
647,647,SpaceX,StatusRetired,59.5,Success
648,648,MHI,StatusActive,90,Success
649,649,Arianespace,StatusActive,200,Success
650,650,ULA,StatusActive,140,Success
651,651,ISRO,StatusActive,31,Success
652,652,ISRO,StatusActive,31,Success
653,653,KCST,StatusActive,,Failure
654,654,ULA,StatusRetired,,Success
655,655,Arianespace,StatusRetired,,Success
656,656,ULA,StatusActive,153,Success
657,657,ESA,StatusActive,37,Success
658,658,ISA,StatusRetired,,Success
659,659,ULA,StatusRetired,,Success
660,660,Arianespace,StatusActive,80,Success
661,661,MHI,StatusActive,90,Success
662,662,ULA,StatusActive,145,Success
